Episode,Total Reward
1,-350.4422777891159
2,-264.96705734264106
3,-313.66646975278854
4,-207.38789833523333
5,-367.45911956578493
6,-254.36719352006912
7,-285.57289719581604
8,-166.4254395365715
9,-199.2502619624138
10,-181.6974833458662
11,-198.2919913828373
12,-188.37329334393144
13,-218.18572671711445
14,-221.22795043699443
15,-227.6410611309111
16,-363.5344526283443
17,-247.83677458763123
18,-302.4722835160792
19,-234.34506046772003
20,-200.12030732631683
21,-182.7744026631117
22,-525.312872454524
23,-184.11909407377243
24,-140.90690840035677
25,-236.95228451490402
26,-297.6437813639641
27,-217.32340369699523
28,-215.47008534893394
29,-197.39533415436745
30,-152.1396519932896
31,-503.31796765327454
32,-219.08508760482073
33,-198.9264915585518
34,-324.1096581444144
35,-316.9178087413311
36,-286.7937937527895
37,-240.33390860632062
38,-200.52834604680538
39,-241.091027662158
40,-401.67279304564
41,-856.6372106000781
42,-216.75094163417816
43,-315.26169019937515
44,-194.71813559532166
45,-282.23806726932526
46,-274.1983440518379
47,-272.7925121858716
48,-146.92580883204937
49,-208.50640588998795
50,-214.20829856954515
51,-179.27983903884888
52,-205.09140676259995
53,-180.42619981011376
54,-158.14181008934975
55,-195.49737721681595
56,-235.07137820124626
57,-165.53020623326302
58,-132.9895883128047
59,-318.72892839461565
60,-228.28206020593643
61,-195.8435544744134
62,-216.61189830303192
63,-182.4150346815586
64,-265.2470837236033
65,-188.37246948760003
66,-196.3065343797207
67,-418.3910174444318
68,-238.4248715308495
69,-227.27871721982956
70,-178.5192658584565
71,-187.31718830019236
72,-222.39270383119583
73,-223.11758618801832
74,-227.84205023944378
75,-232.4718724489212
76,-445.0358087643981
77,-256.95861983299255
78,-269.49477402307093
79,-214.9159096297808
80,-291.0156017020345
81,-318.054555402603
82,-191.79153402522206
83,-243.32448345422745
84,-260.6760728787631
85,-191.31913673132658
86,-194.63154931366444
87,-256.96461491286755
88,-290.8917624200694
89,-555.0856235474348
90,-302.91601952910423
91,-184.98202311992645
92,-296.74470841884613
93,-187.48593730852008
94,-214.51998248673044
95,-269.89998219907284
96,-188.21944940276444
97,-169.166895955801
98,-181.37989651411772
99,-191.61889048293233
100,-218.09935792163014
101,-308.8773062825203
102,-280.8430143930018
103,-179.14647430181503
104,-188.4609528183937
105,-249.83345991373062
106,-137.35552138462663
107,-303.832155816257
108,-198.27297703176737
109,-214.3169595003128
110,-172.04435607790947
111,-206.02410553395748
112,-240.3091011941433
113,-231.36625063419342
114,-214.5697282254696
115,-272.87080377340317
116,-195.84328661859035
117,-163.59858387708664
118,-293.41268441081047
119,-164.93531019240618
120,-474.541097253561
121,-193.00663447380066
122,-195.7804532647133
123,-212.72365445643663
124,-183.6753413565457
125,-277.8944126670249
126,-211.8508680164814
127,-212.1021325662732
128,-371.07557839155197
129,-210.3255521489773
1,-208.64024733752012
2,-140.76797014847398
3,-174.20712115988135
4,-226.2553273141384
5,-170.95308570563793
6,-162.26899835467339
7,-219.7706846036017
8,-288.62393432855606
9,-212.3448108509183
10,-206.80370233394206
11,-223.20019955933094
12,-309.2649169443175
13,-369.12036952376366
14,-403.4327916055918
15,-237.00196087360382
16,-162.00117620825768
17,-282.89668676257133
18,-227.12851724028587
19,-218.79613064788282
20,-255.87227814272046
21,-218.0317472377792
22,-290.99407893419266
23,-172.6071041598916
24,-249.11749099195004
25,-193.04388345777988
26,-241.81228470802307
27,-246.9557658135891
28,-248.90040983073413
29,-309.9530462361872
30,-229.45872107893229
31,-206.94078961759806
32,-214.8909326568246
33,-230.61324766278267
34,-405.57892936468124
35,-214.01195487380028
36,-260.97359704971313
37,-231.50063413381577
38,-202.20221516489983
39,-274.58960500359535
40,-251.7703554444015
41,-266.8249262571335
42,-194.6968115158379
43,-251.23978769779205
44,-185.1217052489519
45,-168.24173128046095
46,-581.62059918046
47,-163.1883713491261
48,-279.3926040530205
49,-263.34526143968105
50,-183.13492838852108
51,-174.20459042210132
52,-244.6284997165203
53,-235.4445771202445
54,-133.94619580172002
55,-186.16158258914948
56,-221.57085222005844
57,-208.92682932317257
58,-319.11531609104713
59,-167.10148552060127
60,-195.55632516928017
61,-142.83201780635864
62,-156.48379704542458
63,-181.13759546726942
64,-169.77441543340683
65,-174.9423656463623
66,-292.9472104907036
67,-250.927085891366
68,-205.39925883710384
69,-221.95658929646015
70,-140.47780320048332
71,-241.5472465455532
72,-310.8057124018669
73,-196.69591202540323
74,-138.47067074477673
75,-217.87213622033596
76,-216.52981792762876
77,-258.91782581806183
78,-245.52381636202335
79,-315.3312191516161
80,-204.07716470956802
81,-283.09100602567196
82,-255.11262466013432
83,-240.0796748995781
84,-212.03257815167308
85,-160.00956412404776
86,-160.01322961226106
87,-266.35637134313583
88,-299.6603543162346
89,-201.32882696390152
90,-242.82220575213432
91,-162.13751784339547
92,-185.62498892471194
93,-167.2619590163231
94,-165.48652490973473
95,-146.43860119581223
96,-204.1812126338482
97,-202.53556594252586
98,-214.69526892900467
99,-157.78317504376173
100,-207.63050232827663
101,-296.4344128072262
102,-175.4027325026691
103,-247.2952996790409
104,-332.298544973135
105,-204.46237766742706
106,-308.11592492461205
107,-195.98045599460602
108,-333.017793469131
109,-191.3658112268895
110,-405.88399708271027
111,-206.40392835438251
112,-196.62745040655136
113,-222.79934805631638
114,-141.77029979601502
115,-233.9911771416664
116,-201.28074602782726
117,-205.10883254557848
118,-193.19574704021215
119,-316.6797459125519
120,-204.69798307865858
121,-205.66074150800705
122,-299.69462352991104
123,-198.4077043235302
124,-226.344551384449
125,-362.55193170905113
126,-199.74468275904655
127,-211.58202163595706
128,-191.84603206068277
129,-158.21798587404191
130,-181.7482746951282
131,-215.1502407491207
132,-211.04905021190643
133,-202.5094931423664
134,-186.46424334682524
135,-263.98406252264977
136,-210.0600130856037
137,-256.534596696496
138,-142.0064806714654
139,-154.43198689748533
140,-267.21225928515196
141,-233.24863301962614
142,-154.75821871310472
143,-302.5007922053337
144,-249.49550467729568
145,-239.9506480693817
146,-235.5814852118492
147,-207.17664768258692
148,-226.19706827402115
149,-185.2361524719745
150,-289.55236983299255
151,-287.79278314113617
152,-245.06553415907547
153,-181.44657295942307
154,-228.98011283949018
155,-157.4597418308258
156,-201.95360173098743
157,-219.29669915139675
158,-165.3471953496337
159,-193.36494018137455
160,-226.4988517910242
161,-214.25518947839737
162,-187.841697730124
163,-218.82406175788492
164,-253.4138004258275
165,-187.8535735309124
166,-191.90164670348167
167,-162.44765706267208
168,-176.45586222037673
169,-264.43016040325165
170,-325.6074001342058
171,-265.56681525707245
172,-163.9303726553917
173,-196.31695473194122
174,-152.50273716077209
175,-270.84498523175716
176,-180.99058913439512
177,-204.74995463341475
178,-225.2520287334919
179,-188.87569864094257
180,-216.093972787261
181,-172.3650141954422
182,-206.98705320328008
183,-195.33425655961037
184,-182.92817806173116
185,-202.01924639940262
186,-198.48762018978596
187,-129.71304411347955
188,-351.1069351322949
189,-257.9339838922024
190,-218.34354786016047
191,-170.91176578588784
192,-224.55457902536727
193,-166.89474780857563
194,-228.86224906146526
195,-255.62466069776565
196,-219.96076229214668
197,-216.97571036219597
198,-209.67296296358109
199,-606.9971166849136
200,-304.4894191324711
201,-204.38417898118496
202,-250.64727811142802
203,-226.80439740698785
204,-318.80029904842377
205,-223.07096245884895
206,-237.02715355157852
207,-264.3679517825367
208,-175.19783646799624
209,-178.99103234452195
210,-204.2435399806127
211,-248.1273576617241
212,-233.01319719664752
213,-222.75972325354815
214,-226.80208033323288
215,-200.30135095119476
216,-354.4884588345885
217,-216.07042223215103
218,-209.25417584180832
219,-167.43075147271156
220,-190.2583927810192
221,-254.00254887901247
222,-141.27687732875347
223,-275.0650609731674
224,-229.24595123529434
225,-180.8219721019268
226,-199.25664818286896
227,-185.30267253518105
228,-182.516428463161
229,-226.87175157666206
230,-292.6153047196567
231,-169.5059516131878
232,-247.8801327943802
233,-363.3448283728212
234,-209.45543102920055
235,-254.97736325860023
236,-199.2368633300066
237,-207.77243868261576
238,-161.27178474515676
239,-187.35000376403332
240,-264.54139012191445
241,-175.02579248789698
242,-306.87482816539705
243,-228.35248460620642
244,-240.67341157794
245,-189.98813831806183
246,-306.1909056114964
247,-222.94284058362246
248,-193.50641724467278
249,-183.60536072961986
250,-174.68221984058619
251,-411.561740309
252,-264.24036829918623
253,-154.7078448422253
254,-283.6152509301901
255,-175.7618479281664
256,-196.29279226064682
257,-359.7995325624943
258,-265.22181183099747
259,-188.61667123809457
260,-174.7175408154726
261,-175.0733412420377
262,-236.9978780336678
263,-239.2414145618677
264,-233.51950251497328
265,-267.20661671459675
266,-383.6020687818527
267,-163.95029301568866
268,-306.81980014406145
269,-261.56696206331253
270,-180.85799065232277
271,-221.79103840142488
272,-155.6638743877411
273,-170.5991936326027
274,-284.66350865364075
275,-234.79052570462227
276,-183.42926299292594
277,-201.25938919186592
278,-121.49935045838356
279,-236.2131427526474
280,-154.32466780394316
281,-252.1737454533577
282,-181.5751826763153
283,-224.73072870261967
284,-326.82398839108646
285,-358.1256558597088
286,-155.43913581222296
287,-180.29534573853016
288,-231.19747140072286
289,-235.15749949216843
290,-166.76042766217142
291,-250.37415954470634
292,-187.60522447153926
293,-122.00935914600268
294,-177.0238005667925
295,-270.9208194464445
296,-136.58796981349587
297,-292.38536121265497
298,-172.48602429777384
299,-166.16561576956883
300,-279.8328605424613
301,-207.77266555652022
302,-180.93583104014397
303,-168.41282814741135
304,-168.47775231674314
305,-192.00186581164598
306,-189.13497853279114
307,-251.5326913818717
308,-179.90434131026268
309,-208.22331274300814
310,-289.69526904821396
311,-282.8765644580126
312,-164.65812347829342
313,-355.356616564095
314,-176.6586152613163
315,-169.89872193709016
316,-322.6141800582409
317,-214.57448998093605
318,-309.61222618073225
319,-319.70922700184747
320,-184.3505583703518
321,-262.7931257020682
322,-284.24322328157723
323,-368.11198422499
324,-199.76045633666217
325,-278.34412613511086
326,-145.8061323724687
327,-157.77012110501528
328,-175.11446133255959
329,-181.6191236525774
330,-150.26773461699486
331,-157.5536444708705
332,-248.83081245422363
333,-181.60604295134544
334,-176.6565483212471
335,-195.78587673604488
336,-190.50842973589897
337,-228.63180977106094
338,-223.31795805692673
339,-137.71964974328876
340,-142.99478793144226
341,-242.36304953694344
342,-317.0802022796124
343,-200.11071133613586
344,-324.28463727235794
345,-198.74399971496314
346,-200.20447067171335
347,-156.45292413141578
348,-199.1265772394836
349,-257.11457031965256
350,-253.50936085835565
351,-277.9430978298187
352,-273.9864429850131
353,-462.54084840300493
354,-248.96744039468467
355,-348.8143694996834
356,-213.81872528791428
357,-228.09012505412102
358,-247.67439126968384
359,-185.94475710391998
360,-175.56524075567722
361,-193.97319772839546
362,-218.9717042595148
363,-183.58350211940706
364,-258.99925465136766
365,-454.1143736243248
366,-256.01952962577343
367,-149.70166062936187
368,-156.4356252104044
369,-177.316635414958
370,-402.7398819923401
371,-206.02490404248238
372,-208.40767070651054
373,-210.96975056827068
374,-199.5753079764545
375,-198.3718170300126
376,-195.54661375284195
377,-220.063227429986
378,-200.66576601355337
379,-155.38417445868254
380,-208.9692036435008
381,-172.49128943681717
382,-266.1298801815137
383,-164.79549107700586
384,-197.9052163362503
385,-314.6602767086588
386,-303.02410604059696
387,-154.48236410319805
388,-213.05832612514496
389,-377.8184406757355
390,-209.8157039284706
391,-237.04709790926427
392,-168.3765699393116
393,-237.1805277839303
394,-198.60471158474684
395,-148.6348388940096
396,-148.3461234094575
397,-135.85818433575332
398,-202.29893524944782
399,-153.5309191197157
400,-205.59623038768768
401,-171.43023250997066
402,-305.0022979336791
403,-163.77971341460943
404,-235.64325726032257
405,-255.0606343448162
406,-189.58548437803984
407,-187.43710152991116
408,-190.42994087189436
409,-197.67235189676285
410,-184.7321381866932
411,-137.71313126012683
412,-154.45017779618502
413,-266.8638666123152
414,-224.54334132559597
415,-218.21403515338898
416,-354.87880107946694
417,-258.2005616873503
418,-201.80878880620003
419,-202.71677786111832
420,-158.65005026385188
421,-164.86994459480047
422,-193.62431678175926
423,-181.891572419554
424,-282.13474498316646
425,-139.80687053501606
426,-131.31263450696133
427,-207.76476868987083
428,-143.59136413037777
429,-193.947362376377
430,-126.39083503792062
431,-181.15291430801153
432,-211.88381453230977
433,-186.44800229370594
434,-187.5904287211597
435,-322.7760582268238
436,-234.4444152386859
437,-198.8728938177228
438,-411.1451976671815
439,-162.87416547353496
440,-174.66211219877005
441,-153.46048337966204
442,-209.2993840277195
443,-188.24563803058118
444,-181.07233980298042
